MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21701982,1300000,85718,-110.921.223,32.292.136,3.36,12695.41,2007,4,4,4585,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",194
21125701,1200000,85750,-110.846.659,32.326.433,01.05,9450,1999,4,3,4169,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",110
21127604,1250000,85718,-1.109.406,32.345.394,1.2,14910,2003,3,4,5111,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",159
21317020,1150000,85658,-111.085.082,32.464.902,0.75,13534.17,2007,4,5,3920,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",133
21322171,1220000,85748,-110.748.185,32.238.176,10,13011.62,1979,3,5,4545,0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile, Concrete",0
21804473,1344000,85658,-11.109.506,32.470.843,0,846.03,2018,3,4,2329,2,"Dishwasher, Garbage Disposal, Island, Refrigerator",1,Natural Stone,550
21900170,1250000,85755,-110.966.696,3.246.085,0.99,12272.7,2001,3,5,4426,3,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Reverse Osmosis, Countertops: Granite, Microwave: yes, Oven: Two",4,"Carpet, Natural Stone",132
21902779,1300000,85658,-111.087.998,32.469.423,0.65,15513,2009,4,5,4318,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Warming Drawer, Appliance Color: Stainless, Microwave: Miele, Oven: Wolf",4,"Natural Stone, Wood",117
21223954,1300000,85755,-110.994.178,32.455.309,1.25,13445,2007,3,5,5118,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave",2,"Carpet, Natural Stone",153
21332680,1050000,85742,-111.027.725,32.359.005,02.03,9285,1998,3,5,6428,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Concrete, Wood",0
21415543,1152030,85749,-11.071.358,32.276.752,3.82,9017,2006,3,5,5344,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",9,"Carpet, Natural Stone, Wood",0
21530280,1296500,85718,-110.926.847,32.341.534,0.73,11598.56,1991,5,6,5156,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",322
21301644,1300000,85737,-110.990.831,32.404.598,2.12,11532.96,2008,4,5,4677,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",50
21305294,1200000,85718,-110.942.288,32.347.119,0.99,12434.42,2002,3,4,4309,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Concrete",159
21732296,1284000,85718,-110.913.487,32.289.142,1.32,13213.36,1995,4,5,4952,3,"Dishwasher, Garbage Disposal, Gas Range, Island",3,"Carpet, Ceramic Tile",None
21901659,1348000,85658,-111.100.762,32.468.828,0.34,2162.18,2018,3,4,3044,2,"Dishwasher, Freezer, Gas Range, Island, Pantry: Walk-In, Refrigerator, Wet Bar",2,"Carpet, Natural Stone",None
21412482,1250000,85750,-110.835.801,32.323.537,0.84,4781,2012,4,4,3541,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Wood, Other",41
21522140,1125000,85658,-111.063.355,32.468.694,1,15096.37,2002,3,4,3801,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone, Wood",148
21620337,1275000,85718,-110.923.607,32.316.522,01.08,13150,2002,5,5,5489,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile, Wood",195
21706833,1408464,85719,-110.938.327,32.242.829,0.24,0,2016,2,3,3346,3,"Dishwasher, Garbage Disposal, Refrigerator",1,"Carpet, Natural Stone",125
21220862,1215000,85750,-110.849.011,32.322.049,0.5,9465,1993,4,5,4448,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Natural Stone, Wood, Other",116
21731243,1330245,85658,-111.101.549,32.470.705,0,2037.47,2017,3,3,2400,2,"Dishwasher, Double Sink, Gas Range, Refrigerator",1,"Carpet, Natural Stone",None
21728731,1300000,85749,-110.732.027,3.228.869,12,9858,1987,5,4,5500,2,"Dishwasher, Electric Range, Freezer, Garbage Disposal, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Concrete",5,Mexican Tile,None
21731411,1273000,85718,-110.927.625,32.298.323,3.45,10447.62,1930,5,7,5371,2,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: granite, Oven: .",4,"Carpet, Mexican Tile, Wood",4.16
21802108,1225000,85718,-110.959.995,32.331.485,0.94,13688.15,2008,4,6,6093,4,"Dishwasher, Double Sink, Garbage Disposal, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Microwave: SS, Oven: SS",4,"Carpet, Ceramic Tile, Wood",None
21306886,1480000,85750,-110.868.335,32.332.501,1.41,19421.93,1991,6,7,11336,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile, Natural Stone, Vinyl",202
21330741,1100000,85750,-110.810.603,32.276.485,1.1,10818.58,2008,4,4,3404,2,"Dishwasher, Garbage Disposal, Microwave, Oven",2,Concrete,700
21119508,1000000,85742,-111.031.723,3.244.019,4.13,3861.65,2009,6,6,6520,4,None,3,Other,50
21213062,1250000,85658,-111.090.091,32.467.754,0.75,10165.69,2007,3,4,3400,3,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",118
21213482,1275000,85718,-110.928.949,32.334.833,1,3867.82,2012,5,4,4547,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone",0
21324250,1178000,85611,-110.591.514,31.661.903,16.33,9322.2,2004,6,7,6046,8,"Dishwasher, Garbage Disposal, Refrigerator, Microwave",4,"Natural Stone, Wood",0
21725356,1225000,85718,-11.092.401,32.315.963,1.11,9308.69,2001,5,5,4235,3,"Desk, Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Granite, Microwave: Built-in, Oven: Double Oven",2,"Carpet, Wood",195
4113361,1178000,85611,-110.591.438,31.661.827,16.33,11494,2007,6,6,6046,8,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Lazy Susan, Pantry: Walk-In, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Built-In, Oven: Double",4,"Natural Stone, Wood",None
